Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;1;-5.0;0.96;147.75;145.75
1;1;-1.9;0.94;161.75;160.0
0;1;-3.9;0.98;344.0;393.5
0;1;-2.9;0.83;363.0;436.0
0;1;-2.8;0.88;369.5;407.5
1;1;-1.5;0.83;177.25;176.25
0;1;9.7;0.79;214.75;225.75
1;1;12.1;0.71;169.75;171.75
1;1;12.3;0.75;163.0;166.75
0;1;6.5;0.95;366.5;448.0
0;1;3.7;0.98;355.25;446.5
0;1;4.7;0.94;NaN;441.5
0;1;4.2;0.94;374.75;427.0
0;1;6.1;0.93;350.75;422.25
1;1;5.2;0.93;193.25;191.25
1;1;3.0;0.97;150.25;152.25
0;1;0.6;0.99;367.75;426.25
0;1;1.3;0.96;351.0;422.0
0;1;-0.4;0.97;354.0;423.0
0;1;4.0;0.61;367.25;426.25
0;1;1.4;0.74;385.0;462.25
1;1;-0.2;0.65;187.0;200.0
1;1;-1.6;0.7;170.75;169.0
0;1;-1.8;0.8;368.0;428.0
0;1;-1.8;0.79;354.25;414.25
0;1;1.7;0.76;343.0;411.0
0;1;2.6;0.82;354.5;416.25
0;1;-1.4;0.77;361.75;457.5
1;1;-1.7;0.89;182.5;184.25
1;1;-1.1;0.8;168.25;169.75
0;1;-1.4;0.77;349.25;398.75
0;2;-1.9;0.66;336.0;398.25
0;2;-3.2;0.78;334.5;374.25
0;2;-1.0;0.73;328.75;388.5
0;2;0.5;0.82;320.5;343.0
1;2;2.0;0.82;182.25;185.25
1;2;4.8;0.69;171.5;172.5
0;2;4.0;0.76;303.25;377.75
0;2;3.9;0.76;317.75;344.75
0;2;7.5;0.62;319.5;376.25
0;2;4.6;0.74;310.0;382.0
0;2;4.8;0.71;324.75;346.0
1;2;11.3;0.55;173.25;174.5
1;2;3.4;0.55;175.25;176.5
0;2;2.0;0.94;381.5;429.5
0;2;0.8;0.93;372.75;443.75
0;2;2.3;0.94;375.25;444.0
0;2;2.2;0.92;375.5;427.5
0;2;3.1;0.93;354.5;436.25
1;2;4.8;0.74;155.0;158.25
1;2;3.2;0.84;142.5;141.25
0;2;-1.1;0.89;372.25;443.25
0;2;-2.0;0.86;362.0;423.75
0;2;-4.0;0.66;352.75;391.75
0;2;-3.1;0.65;347.5;403.25
0;2;-1.1;0.46;353.75;394.25
1;2;-0.5;0.71;180.75;201.25
1;2;-1.7;0.84;170.75;170.75
0;2;-1.2;0.9;384.5;448.25
0;3;0.2;0.81;372.0;446.5
0;3;-0.1;0.81;385.0;447.25
0;3;-1.1;0.81;373.75;448.0
0;3;1.8;0.78;352.5;417.75
1;3;0.9;0.86;183.864468864;187.583941606
1;3;2.3;0.81;171.306569343;172.396363636
0;3;3.1;0.4;350.131086142;400.791970803
0;3;2.4;0.41;360.629482072;422.022813688
0;3;2.6;0.5;361.856031128;405.642023346
0;3;5.0;0.42;353.6796875;396.747081712
0;3;11.8;0.43;340.15234375;400.65234375
1;3;10.4;0.49;185.431906615;186.75
1;3;13.0;0.47;182.19921875;182.661478599
0;3;17.0;0.55;392.840466926;400.515625
0;3;16.3;0.55;326.5;391.75
0;3;10.8;0.78;354.25;449.25
0;3;11.5;0.94;350.5;427.0
0;3;11.9;0.67;358.25;425.5
1;3;6.1;0.91;180.25;176.5
1;3;6.1;0.55;177.75;185.25
0;3;5.6;0.61;352.5;416.75
0;3;8.6;0.58;345.0;393.25
0;3;13.6;0.38;332.75;378.75
0;3;14.1;0.46;312.0;390.25
0;3;15.5;0.37;309.0;366.5
1;3;15.4;0.59;211.25;230.0
1;3;12.3;0.69;183.0;185.5
0;3;10.9;0.88;NaN;NaN
0;3;13.2;0.8;NaN;NaN
0;3;13.2;0.61;328.75;382.25
0;3;15.2;0.41;342.5;395.75
0;4;14.9;0.48;NaN;NaN
1;4;18.4;0.52;NaN;NaN
1;4;16.6;0.54;NaN;NaN
0;4;17.8;0.45;NaN;NaN
0;4;12.7;0.61;NaN;NaN
0;4;15.6;0.43;NaN;NaN
0;4;19.4;0.47;NaN;NaN
0;4;16.5;0.59;NaN;NaN
1;4;19.8;0.4;NaN;NaN
1;4;13.8;0.32;NaN;NaN
0;4;16.8;0.38;NaN;NaN
0;4;21.5;0.28;NaN;NaN
0;4;11.7;0.4;NaN;NaN
0;4;13.1;0.26;NaN;NaN
0;4;12.1;0.49;NaN;NaN
1;4;9.8;0.69;NaN;NaN
1;4;13.8;0.42;154.0;156.0
0;4;15.4;0.38;324.75;390.5
0;4;17.5;0.35;329.25;374.75
0;4;17.2;0.44;339.75;389.5
0;4;17.9;0.46;319.5;365.0
0;4;19.4;0.32;281.25;340.25
1;4;20.4;0.34;153.25;155.25
1;4;20.3;0.25;137.75;140.25
1;4;17.8;0.65;146.0;148.75
0;4;12.9;0.82;346.5;410.25
0;4;16.3;0.6;310.0;374.75
0;4;14.9;0.64;323.75;425.25
0;4;13.5;0.82;333.0;390.75
1;4;14.1;0.87;160.5;176.5
1;5;15.1;0.77;145.0;145.25
0;5;16.7;0.56;288.5;361.5
0;5;20.5;0.53;318.0;379.25
0;5;10.5;0.47;NaN;379.0
0;5;14.7;0.28;289.981818182;329.769633508
0;5;14.6;0.3;301.408759124;349.080586081
1;5;17.6;0.43;158.531120332;165.864197531
1;5;19.7;0.27;146.315352697;150.468619247
0;5;16.6;0.46;294.25;355.75
0;5;21.2;0.39;279.0;336.75
0;5;23.2;0.37;324.5;387.5
0;5;23.2;0.42;292.0;348.75
0;5;21.0;0.54;NaN;NaN
1;5;22.2;0.49;NaN;228.0
1;5;14.9;0.83;186.276422764;196.863453815
0;5;15.4;0.44;354.928286853;378.895652174
0;5;17.2;0.52;332.877729258;378.81981982
0;5;17.7;0.65;333.521367521;399.546255507
0;5;22.2;0.53;341.756521739;386.143478261
0;5;23.7;0.47;314.959459459;383.214953271
1;5;25.3;0.44;134.071748879;184.208888889
1;5;21.4;0.63;146.970588235;150.583333333
0;5;23.8;0.55;328.296460177;377.138528139
0;5;24.0;0.62;372.727678571;440.674107143
0;5;24.3;0.38;349.827272727;403.392307692
0;5;20.6;0.37;339.692982456;391.995670996
0;5;24.9;0.52;348.612765957;471.256410256
1;5;12.2;0.83;170.724576271;234.572052402
1;5;19.2;0.53;145.811965812;195.862222222
0;5;22.5;0.38;387.084745763;422.472340426
0;5;23.8;0.51;351.987068966;382.594827586
